"Profile","Location","Depth","Fmax1","Fmax2","Fmax3","Fmax4"
1,"BATS",10,0.129576499,0.2461505703,0.475910206,0.03550895203
2,"BATS",10,0.1094274015,0.1923556799,0.3853165169,0.03463313017
3,"BATS",10,0.136218934,0.2498426396,0.5251346092,0.04412089355
1,"BATS",100,0.2060325607,0.3864666688,0.3901487771,0.06448680446
2,"BATS",100,0.2330798349,0.4226594154,0.4352636124,0.06816407989
3,"BATS",100,0.2084977353,0.3874448128,0.4211204565,0.06601509801
1,"BATS",200,0.2289265016,0.378677335,0.3438381769,0.05917654809
2,"BATS",200,0.2438016951,0.3872710482,0.3737259338,0.0632992731
3,"BATS",200,0.2658616552,0.4137285004,0.4229070865,0.0668163944
1,"BATS",400,0.2428021897,0.3834507649,0.3502624579,0.06164780253
2,"BATS",400,0.2995277635,0.4652677233,0.4034669353,0.07434086772
3,"BATS",400,0.3607675408,0.5165782915,0.4620124611,0.09540007705
1,"BATS",600,0.3308257747,0.4519608984,0.2780550713,0.08562210295
2,"BATS",600,0.3779802494,0.4752528736,0.2524802103,0.1080689128
3,"BATS",600,0.3317657592,0.4397682038,0.2624097052,0.08897719388
1,"BATS",800,0.3736000885,0.4502687265,0.2339405349,0.1017241724
2,"BATS",800,0.3818405259,0.5165587876,0.3109237101,0.09786056284
3,"BATS",800,0.419085009,0.51379299,0.2557623915,0.1274593597
1,"BATS",1000,0.452376128,0.5573050324,0.2942489943,0.1266070603
2,"BATS",1000,0.4899794966,0.5990365287,0.2923929583,0.1456551745
3,"BATS",1000,0.470001057,0.5773833295,0.3199981271,0.139207431
1,"BATS",1200,0.4194335472,0.541032582,0.3281685387,0.1142187197
2,"BATS",1200,0.3804614458,0.4966325372,0.2701277523,0.1059785015
3,"BATS",1200,0.5179500049,0.6434066248,0.3256654597,0.1510196951
1,"BATS",1400,0.417317536,0.5485734195,0.2931199001,0.1108399011
3,"BATS",1400,0.4159338748,0.5417367601,0.3172224308,0.1158300782
1,"BATS",1600,0.4998604269,0.6490689636,0.3620177186,0.1350559458
2,"BATS",1600,0.4187873728,0.5363437636,0.2526169463,0.1181737102
3,"BATS",1600,0.4744400518,0.5911491134,0.2910318342,0.1389628735
2,"BATS",1800,0.5284360073,0.678004387,0.3408100996,0.1430897095
3,"BATS",1800,0.5406619993,0.6778203878,0.3280769814,0.160542358
1,"BATS",2000,0.5025837264,0.6471416297,0.3352472271,0.1361749974
2,"BATS",2000,0.4483762332,0.5713570119,0.2907436875,0.1289024397
0,"BATS",2000,0.4041249795,0.5146852203,0.2376257401,0.1144894657
3,"BATS",2000,0.4427912376,0.5637725761,0.256733666,0.1243358692
1,"BATS",2200,0.4748290138,0.6061400384,0.2880784341,0.1286079407
2,"BATS",2200,0.4955930724,0.6350750579,0.294168405,0.1385844976
3,"BATS",2200,0.4258086142,0.5340617579,0.2309899632,0.1208662908
1,"BATS",2374,0.4346125963,0.5424303899,0.2903329862,0.1253553252
1,"BATS",2400,0.4847531248,0.6118265633,0.2817479419,0.1373819492
2,"BATS",2400,0.4612882449,0.5663360931,0.2412119838,0.1354764252
3,"BATS",2400,0.4531366167,0.5580677384,0.2494873593,0.1305870596
1,"BATS",2600,0.4349669026,0.5455312574,0.250765873,0.1240721589
2,"BATS",2600,0.4696574259,0.5848759444,0.2620548333,0.1307426269
3,"BATS",2600,0.4667291873,0.585867066,0.252715806,0.1334085568
1,"BATS",2800,0.4686675205,0.5934783461,0.268785545,0.1330150732
2,"BATS",2800,0.5304104177,0.6499128361,0.2993653372,0.1544358472
3,"BATS",2800,0.4446690922,0.5573959906,0.2559352609,0.1310570775
1,"BATS",3000,0.4709373105,0.5897196597,0.2907817741,0.1331531389
2,"BATS",3000,0.5117070799,0.6344628881,0.2979582687,0.1479918636
3,"BATS",3000,0.4726201847,0.5849071508,0.2509535541,0.1377914046
2,"BATS",3200,0.4497924744,0.5353720794,0.2411743424,0.1356478613
