"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
2180,0.75,1,0,0.574,0.287,600.096371,13
2936,0.1,1.3,0,0.14,0.014,298.19333,8
3023,0.2,1.04,0,0.276,0.019714286,406.17799,13
3464,0.647058824,0.705882353,0,0.4,0.028571429,392.0378193,12
3474,0.208333333,1.5,0,0.195,0.0975,404.2562443,7
3516,0.290322581,1.548387097,0,0.3,0.03,564.329656,8
3588,0.214285714,0.714285714,0,0.189,0.01575,226.0630503,10
3906,0.3,1,0,0.272,0.034,356.1259373,11
4252,0.105263158,1.157894737,0,0.153,0.01275,282.1619442,9
4533,0.290322581,1.225806452,0,0.367,0.061166667,554.2517068,13
4536,0.272727273,1.393939394,0,0.34,0.17,586.3142891,11
5105,0.235294118,1.470588235,0,0.304,0.152,586.3507124,10
5131,0.235294118,2,0,0.092,0.015333333,302.2457112,1
5917,0.24137931,1.310344828,0,0.295,0.049166667,498.2617017,11
6391,0.46875,1.0625,0,0.545,0.038928571,658.1900403,16
6508,0.324324324,1.243243243,0,0.463,0.11575,682.2988824,15
6556,0.322580645,1.225806452,0,0.39,0.0975,570.246376,13
6847,0.25,1.357142857,0,0.281,0.07025,486.2616593,10
8558,0.315789474,1.473684211,0,0.41,0.041,704.3769735,11
8571,0.724137931,1.517241379,0,0.576,0.041142857,728.236936,8
9305,0.333333333,1.666666667,0,0.297,0.07425,570.34028,6
9329,0.482758621,1.655172414,0,0.388,0.0388,620.304654,6
9373,0.75862069,1.379310345,0,0.625,0.3125,740.20164,10
9620,0.181818182,1.454545455,0,0.172,0.043,360.230141,7
9651,0.24,1.6,0,0.205,0.017083333,436.2823643,6
9665,0.24137931,1.655172414,0,0.228,0.0228,508.3399877,6
9671,0.266666667,1.666666667,0,0.25,0.03125,538.3506877,6
10073,0.382352941,1.588235294,0,0.392,0.196,670.3564923,8
10085,0.368421053,1.526315789,0,0.442,0.1105,738.3824873,10
10091,0.272727273,1.272727273,0,0.122,0.061,194.0942627,5
10760,0.105263158,1.368421053,0,0.126,0.01575,286.1933356,7
